Title,Author,Published Date,Categories,Description,ISBN_13,Maturity Rating
Anansi Boys I #2,"Neil Gaiman, Marc Bernardin",2024-07-31,Comics & Graphic Novels,"New York Times bestselling author Neil Gaiman joins forces with Eisner nominated Adora writer Marc Bernardin and Thief of Thieves co-creator Shawn Martinbrough to adapt Gaiman’s Locus and British Fantasy award-winning novel as a comic book series for the first time—and soon to be a television show on Amazon Prime! Reeling from the knowledge bomb that his father was a trickster god, Fat Charlie returns to his life: the impending wedding to Rosie, his fiancée, and his job working for the completely unfulfilling Grahame Coats Agency. But not before he learns how to contact the mysterious brother he never knew he had. • Faithfully adapted from the original novel!",,NOT_MATURE
Anansi Boys I #4,"Neil Gaiman, Marc Bernardin",2024-09-25,Comics & Graphic Novels,"New York Times bestselling author Neil Gaiman joins forces with Eisner nominated Adora writer Marc Bernardin and Thief of Thieves cocreator Shawn Martinbrough to adapt Gaiman’s Locus and British Fantasy Award-winning novel as a comic book series for the first time—and soon to be a television show on Amazon Prime It’s time for Fat Charlie and his long-lost brother Spider to mourn the death of their father, Anansi, the god of stories. And in true dearly departed deity fashion, that means an epic night of wine, women and song—a night which will push Fat Charlie to the brink... • Eight issue series.",,NOT_MATURE
Anansi Boys I #7,"Marc Bernardin, Neil Gaiman",2025-01-15,Comics & Graphic Novels,"New York Times bestselling author Neil Gaiman joins forces with Eisner nominated Adora writer Marc Bernardin and Thief of Thieves co-creator Shawn Martinbrough to adapt Gaiman’s Locus and British Fantasy award-winning novel as a comic book series for the first time—and soon to be a television show on Amazon Prime! It’s brother vs. brother as Fat Charlie confronts Spider about kissing Rosie—and demands that his mysterious god-like sibling get out of his house and his life. Spider responds by moving in: to Fat Charlie’s spare room and on to sleeping with Fat Charlie’s fiancée. Oh, and Grahame Coates has the police looking into Fat Charlie, alleged embezzler. • Eight issue series.",,NOT_MATURE
Anansi Boys I #5,"Neil Gaiman, Marc Bernardin",2024-10-30,Comics & Graphic Novels,"New York Times bestselling author Neil Gaiman joins forces with Eisner nominated Adora writer Marc Bernardin and Thief of Thieves co-creator Shawn Martinbrough to adapt Gaiman’s Locus and British Fantasy Award-winning novel as a comic book series for the first time—and soon to be a television show on Amazon Prime! As Fat Charlie nurses an epic hangover, and deals with the mystery woman who shared his bed after the night of mournful reverie, Spider heads to the Grahame Coats Agency to fill in for his brother. There, Spider gets into the kind of trouble only a trickster scion could muster—trouble that poor Fat Charlie will have to deal with. • Faithfully adapted from the original novel! • Eight issue series.",,NOT_MATURE
Anansi Boys I #6,"Neil Gaiman, Marc Bernardin",2024-11-27,Comics & Graphic Novels,"New York Times bestselling author Neil Gaiman joins forces with Eisner nominated Adora writer Marc Bernardin and Thief of Thieves co-creator Shawn Martinbrough to adapt Gaiman’s Locus and British Fantasy award-winning novel as a comic book series for the first time—and soon to be a television show on Amazon Prime! Fat Charlie is forced to deal with the fallout of Spider’s day pretending to be him – the chaos he caused at Fat Charlie’s job at the Grahame Coats Agency as well as the kiss-filled complications with Spider and Rosie. Daisy (the woman Fat Charlie woke up with after the evening of wine, women, and song) is more than meets the eye. Plus: A classic tale of young Anansi brewing his particular brand of mischief. • Eight issue series.",,NOT_MATURE
Anansi Boys I #3,Neil Gaiman,2024-08-28,Comics & Graphic Novels,"Number #1 New York Times bestselling author Neil Gaiman joins forces with Eisner nominated Adora writer Marc Bernardin and Thief of Thieves co-creator Shawn Martinbrough to adapt Gaiman’s Locus and British Fantasy award-winning novel as a comic book series for the first time—and soon to be a television show on Amazon Prime! Meet Spider, the brother Fat Charlie never knew he had. Spider is everything Fat Charlie isn’t: charming, confident, carefree. And when Spider gets a message from his dear long-lost brother, he drops his glittering life in Los Angeles to pay Fat Charlie a visit in the UK. But Spider’s in for a surprise.",,NOT_MATURE
The Facts in the Case of the Departure of Miss Finch (Second Edition),Neil Gaiman,2016-05-10,Comics & Graphic Novels,"Come and hear of the terrible tale of Miss Finch, an exacting woman befallen by mystery and abduction deep under the streets of London! Join a group of friends, with the stern Miss Finch in tow, as they enter musty caverns for a subterranean circus spectacle called ""The Theatre of Night's Dreaming."" Step inside, get out of the pounding rain, and witness this strange world of vampires, ringmasters, illusions, and the Cabinet of Wishes Fulfill'd. New York Times best-selling author Neil Gaiman and his longtime collaborator Michael Zulli (Creatures of the Night, The Sandman) deliver This ""mostly true story"", combining Gaiman's trademark magic realism with Zulli's sumptuous paintings, newly re-designed for this beautiful new edition!",9781616559496,NOT_MATURE
The Facts in the Case of the Departure of Miss Finch,Neil Gaiman,2008,Abduction,"A fantasy writer much like Gaiman recalls a strange night in London. Prodded out by an old pal and his wife, he meets their bioecologist acquaintance, Miss Finch, at dinner and goes with them to an odd, animal-free circus. The audience moves from one chamber to another to see various spooky acts; scientifically skeptical Miss Finch is not amused. In the eighth room, Miss Finch is pulled away by a performer who says her most ardent wish will be granted in the ninth room.",9781845768096,NOT_MATURE
The Ocean at the End of the Lane,Neil Gaiman,2013-06-18,Fiction,"A brilliantly imaginative and poignant fairy tale from the modern master of wonder and terror, The Ocean at the End of the Lane is Neil Gaiman’s first new novel for adults since his #1 New York Times bestseller Anansi Boys. This bewitching and harrowing tale of mystery and survival, and memory and magic, makes the impossible all too real...",9780062255679,NOT_MATURE
The Ocean at the End of the Lane,Neil Gaiman,2021-05-18,Fiction,"From #1 New York Times bestselling author Neil Gaiman, a haunting novel that explores the awesome power of memory, friendship, and sacrifice―one of ten classic Gaiman works repackaged with elegant original watercolor art by acclaimed artist Henry Sene Yee A novel about the truths--some wonderful, some terrible--that children know and adults do not."" --Time Magazine ""They say you cannot go home again, and that is as true as a knife . . ."" A man returns to the site of his childhood home where, years before, he knew a girl named Lettie Hempstock who showed him the most marvelous, dangerous, and outrageous things, but when he gets there he learns that nothing is as he remembered. Wondrous, imaginative, and at times deeply scary, The Ocean at the End of the Lane is classic Neil Gaiman and has captured the hearts of readers everywhere.",9780063070707,NOT_MATURE
The Ocean at the End of the Lane,Neil Gaiman,2020-11-10,Fiction,"A special illustrated edition of The Ocean at the End of the Lane, the bestselling magical novel from master storyteller Neil Gaiman. Breathtaking black-and-white illustrations throughout by fine artist and illustrator, Elise Hurst. 'Both a pitch-perfect fantasy and a moving examination of childhood memories and their effects on our adult selves ... superb' The Times 'Some books you read. Some books you enjoy. But some books just swallow you up, heart and soul' Joanne Harris This is what he remembers, as he sits by the ocean at the end of the lane: A dead man on the back seat of the car, and warm milk at the farmhouse. An ancient little girl, and an old woman who saw the moon being made. A beautiful housekeeper with a monstrous smile. And dark forces woken that were best left undisturbed. They are memories hard to believe, waiting at the edge of things. The recollections of a man who thought he was lost but is now, perhaps, remembering a time when he was saved...",9781472260222,NOT_MATURE
An Excerpt from The Ocean at the End of the Lane,Neil Gaiman,2014-05-06,Fiction,"""A novel about the truths—some wonderful, some terrible—that children know and adults do not.” —Time Magazine “They say you cannot go home again, and that is as true as a knife . . .” A man returns to the site of his childhood home where, years before, he knew a girl named Lettie Hempstock who showed him the most marvelous, dangerous, and outrageous things, but when he gets there he learns that nothing is as he remembered. Wondrous, imaginative, impossible, and at times deeply scary, The Ocean at the End of the Lane is classic Neil Gaiman and has captured the hearts of readers everywhere.",9780062367235,NOT_MATURE
